Date,Close,High,Low,Open,Volume,RSI,SMA_50,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2014-11-05,339.4859924316406,343.3689880371094,330.6830139160156,330.6830139160156,19817200.0,37.379564936787986,372.7668402099609,-13.927913954041117,-1.1438400464870035,-12.784073907554113
2014-11-06,349.2900085449219,352.96600341796875,338.42401123046875,339.4580078125,18797000.0,42.48688568353772,370.60596008300774,-12.268993009428755,0.4120647185002877,-12.681057727929042
2014-11-07,342.4150085449219,352.73199462890625,341.7760009765625,349.8179931640625,16834200.0,40.02182662770531,368.96546020507805,-11.377884086904203,1.0425389128198734,-12.420422999724076
2014-11-08,345.4880065917969,347.0320129394531,342.15399169921875,342.15399169921875,8535470.0,41.65141173837071,367.9793005371094,-10.304919883615355,1.692402492886977,-11.997322376502332
2014-11-09,363.2640075683594,363.6260070800781,344.2550048828125,345.3760070800781,24205600.0,50.097615849147154,367.0665008544922,-7.928814861442618,3.254806012047773,-11.18362087349039
2014-11-10,366.9240112304688,374.8160095214844,357.5610046386719,362.2650146484375,30450100.0,51.64951741230152,366.4285607910156,-5.684871148957313,4.398999779626463,-10.083870928583776
2014-11-11,367.6950073242188,371.30999755859375,363.7349853515625,365.8569946289063,15838900.0,51.98824130467034,365.7394207763672,-3.8005067724494097,5.0266913249074925,-8.827198097356902
2014-11-12,423.5610046386719,429.7179870605469,367.9849853515625,367.9849853515625,45783200.0,68.95797745793728,365.49482116699215,2.1757044965937666,8.802322075160536,-6.626617578566769
2014-11-13,420.7349853515625,457.0929870605469,401.12298583984375,427.2730102539063,58945000.0,67.65528631529025,365.44542114257814,6.607689513577952,10.587445673715777,-3.979756160137825
2014-11-14,397.8179931640625,419.25201416015625,384.78900146484375,418.4169921875,29589200.0,58.07434000261754,365.17030090332037,8.176605013197161,9.725088938667989,-1.5484839254708278
2014-11-15,376.1329956054688,405.5280151367188,371.0079956054688,399.6499938964844,15727500.0,50.750579700837946,364.6044610595703,7.582774274456028,7.305006559941485,0.2777677145145434
2014-11-16,387.8819885253906,390.7990112304688,374.60198974609375,374.7300109863281,11905600.0,54.12610525903967,364.3717010498047,7.968350489573368,6.152466220047059,1.8158842695263084
2014-11-17,387.4079895019531,410.1990051269531,377.50201416015625,388.3489990234375,41518800.0,53.965404767641644,364.5762408447266,8.141820815905987,5.060749237103742,3.0810715788022445
2014-11-18,375.197998046875,392.4020080566406,371.1170043945313,387.7850036621094,32222500.0,49.858870429735894,364.5708605957031,7.2109299205658886,3.303886673410915,3.9070432471549736
2014-11-19,380.5549926757813,386.4809875488281,373.89599609375,373.89599609375,18931800.0,51.59909012674766,364.4430804443359,6.826762210333868,2.3357751705431156,4.4909870397907525
2014-11-20,357.8399963378906,382.0249938964844,356.781005859375,380.3070068359375,25233200.0,44.54017403163283,363.9275805664062,4.635955752738312,0.11597497035804771,4.519980782380264
2014-11-21,350.8479919433594,357.8789978027344,344.11199951171875,357.8789978027344,29850100.0,42.60793790749993,363.44310058593754,2.308913810012882,-1.7688535778939052,4.077767387906787
2014-11-22,352.9200134277344,364.8410034179688,350.87799072265625,351.60400390625,15273000.0,43.39166687580556,363.31126098632814,0.624709855804781,-2.7624460256816055,3.3871558814863865
2014-11-23,367.572998046875,370.8450012207031,353.17498779296875,353.17498779296875,15151600.0,48.72430539594159,364.0854010009766,0.4669567005498152,-2.336159344749257,2.803116045299072
2014-11-24,376.9010009765625,387.2090148925781,366.66900634765625,366.947998046875,30930100.0,51.83488717648283,365.2132208251953,1.08215367358099,-1.3767698973744658,2.4589235709554558
2014-11-25,375.3479919433594,394.7009887695313,374.7839965820313,376.885986328125,25442200.0,51.27715718001772,366.11860046386727,1.4279266079387298,-0.8247975704133808,2.2527241783521106
2014-11-26,368.3699951171875,377.697998046875,365.8160095214844,376.0190124511719,18601700.0,48.73954758384411,366.76226013183606,1.1259093412259062,-0.9014518697009635,2.0273612109268697
2014-11-27,369.6700134277344,373.9920043945313,368.2820129394531,370.50201416015625,8748030.0,49.24350734036234,367.0968603515625,0.9801604152554546,-0.8377606365371322,1.8179210517925868
2014-11-28,376.4469909667969,382.8380126953125,358.4549865722656,369.3739929199219,22946500.0,51.898384002544105,367.3252801513672,1.3954133348875075,-0.3380061735240636,1.733419508411571
2014-11-29,375.4909973144531,387.60101318359375,372.1449890136719,376.1520080566406,15375600.0,51.48924309976234,367.6038598632813,1.6285901932739648,-0.08386345211008495,1.7124536453840498
